,Unnamed: 0,created_at,lang,author_id,text,id,text_token,emoji_free_tweets,url_free_tweets,tokens,tokens_back_to_text,lemmas,lemmas_back_to_text,lemma_tokens,positive_sentiment,negative_sentiment,sentiment_tokens,len_tokens,has_positive,has_negative,label
15,15,2022-09-09T23:55:37.000Z,en,427743501,RT @OceanaEurope: New report published by Oceana &amp; @SeasAtRisk shows #bottomtrawling can be largely replaced in 🇪🇺 by less aggressive fishi…,1568387683097128961,"['@oceanaeurope:', 'new', 'report', 'published', 'oceana', '@seasatrisk', 'shows', '#bottomtrawling', 'largely', 'replaced', '🇪🇺', 'aggressive', 'fishi…']",RT @OceanaEurope: New report published by Oceana &amp; @SeasAtRisk shows #bottomtrawling can be largely replaced in 🇪🇺 by less aggressive fishi…,RT @OceanaEurope: New report published by Oceana &amp; @SeasAtRisk shows #bottomtrawling can be largely replaced in 🇪🇺 by less aggressive fishi…,"['rt', '@oceanaeurope:', 'new', 'report', 'published', 'oceana', '@seasatrisk', 'shows', '#bottomtrawling', 'largely', 'replaced', '🇪🇺', 'aggressive', 'fishi…']",rt @oceanaeurope: new report published oceana @seasatrisk shows #bottomtrawling largely replaced 🇪🇺 aggressive fishi…,"['rt', '@oceanaeurope', 'new', 'report', 'publish', 'oceana', '@seasatrisk', 'show', 'bottomtrawle', 'largely', 'replace', '🇪', '🇺', 'aggressive', 'fishi']",rt @oceanaeurope new report publish oceana @seasatrisk show bottomtrawle largely replace 🇪 🇺 aggressive fishi,"['rt', 'oceanaeurope', 'new', 'report', 'publish', 'oceana', 'seasatrisk', 'show', 'bottomtrawle', 'largely', 'replace', '🇪', '🇺', 'aggressive', 'fishi']",[],['aggressive'],['aggressive'],1,0,1,-1
17,17,2022-09-09T23:55:13.000Z,en,278069561,"RT @el_tragon_de_LA: Not so Fun Fact: Tropical storms are so rare in California, the last one being on September 24, 1939, when a hurricane…",1568387583398522882,"['@el_tragon_de_la:', 'fun', 'fact:', 'tropical', 'storms', 'rare', 'california,', 'september', '24,', '1939,', 'hurricane…']","RT @el_tragon_de_LA: Not so Fun Fact: Tropical storms are so rare in California, the last one being on September 24, 1939, when a hurricane…","RT @el_tragon_de_LA: Not so Fun Fact: Tropical storms are so rare in California, the last one being on September 24, 1939, when a hurricane…","['rt', '@el_tragon_de_la:', 'fun', 'fact:', 'tropical', 'storms', 'rare', 'california,', 'september', '24,', '1939,', 'hurricane…']","rt @el_tragon_de_la: fun fact: tropical storms rare california, september 24, 1939, hurricane…","['rt', '@el_tragon_de_la', 'fun', 'fact', 'tropical', 'storm', 'rare', 'california', 'september', '24', '1939', 'hurricane']",rt @el_tragon_de_la fun fact tropical storm rare california september 24 1939 hurricane,"['rt', 'el_tragon_de_la', 'fun', 'fact', 'tropical', 'storm', 'rare', 'california', 'september', '24', '1939', 'hurricane']",['fun'],[],['fun'],1,1,0,1
18,18,2022-09-09T23:54:48.000Z,en,141003933,"RT @NickKristof: We just lost power here at @KristofFarms here in rural Oregon, apparently because @portlandgeneral shut off electrical lin…",1568387476028530689,"['@nickkristof:', 'lost', 'power', '@kristoffarms', 'rural', 'oregon,', 'apparently', '@portlandgeneral', 'shut', 'electrical', 'lin…']","RT @NickKristof: We just lost power here at @KristofFarms here in rural Oregon, apparently because @portlandgeneral shut off electrical lin…","RT @NickKristof: We just lost power here at @KristofFarms here in rural Oregon, apparently because @portlandgeneral shut off electrical lin…","['rt', '@nickkristof:', 'lost', 'power', '@kristoffarms', 'rural', 'oregon,', 'apparently', '@portlandgeneral', 'shut', 'electrical', 'lin…']","rt @nickkristof: lost power @kristoffarms rural oregon, apparently @portlandgeneral shut electrical lin…","['rt', '@nickkristof', 'lose', 'power', '@kristoffarm', 'rural', 'oregon', 'apparently', '@portlandgeneral', 'shut', 'electrical', 'lin']",rt @nickkristof lose power @kristoffarm rural oregon apparently @portlandgeneral shut electrical lin,"['rt', 'nickkristof', 'lose', 'power', 'kristoffarm', 'rural', 'oregon', 'apparently', 'portlandgeneral', 'shut', 'electrical', 'lin']",[],['lose'],['lose'],1,0,1,-1
19,19,2022-09-09T23:54:47.000Z,en,71664307,RT @PCarterClimate: When Her Majesty said she was 'irritated' by climate inaction a translation would be 'bloody angry'. VIDEO on link.#cli…,1568387472161374208,"['@pcarterclimate:', 'majesty', 'said', ""'irritated'"", 'climate', 'inaction', 'translation', ""'bloody"", ""angry'."", 'video', 'link.#cli…']",RT @PCarterClimate: When Her Majesty said she was 'irritated' by climate inaction a translation would be 'bloody angry'. VIDEO on link.#cli…,RT @PCarterClimate: When Her Majesty said she was 'irritated' by climate inaction a translation would be 'bloody angry'. VIDEO on link.#cli…,"['rt', '@pcarterclimate:', 'majesty', 'said', ""'irritated'"", 'inaction', 'translation', ""'bloody"", ""angry'."", 'video', 'link.#cli…']",rt @pcarterclimate: majesty said 'irritated' inaction translation 'bloody angry'. video link.#cli…,"['rt', '@pcarterclimate', 'majesty', 'say', 'irritated', 'inaction', 'translation', 'bloody', 'angry', 'video', 'link.#cli']",rt @pcarterclimate majesty say irritated inaction translation bloody angry video link.#cli,"['rt', 'pcarterclimate', 'majesty', 'say', 'irritated', 'inaction', 'translation', 'bloody', 'angry', 'video', 'link.#cli']",['majesty'],"['inaction', 'bloody', 'irritated', 'angry']","['majesty', 'inaction', 'bloody', 'irritated', 'angry']",5,1,1,0
20,20,2022-09-09T23:54:39.000Z,es,933778596551946241,"RT @ONU_es: Para abordar la crisis climática, debemos lidiar con nuestra adicción al petróleo, el carbón y el gas. La eliminación gradual…",1568387440745844740,"['@onu_es:', 'para', 'abordar', 'la', 'crisis', 'climática,', 'debemos', 'lidiar', 'con', 'nuestra', 'adicción', 'al', 'petróleo,', 'el', 'carbón', 'y', 'el', 'gas.', 'la', 'eliminación', 'gradual…']","RT @ONU_es: Para abordar la crisis climática, debemos lidiar con nuestra adicción al petróleo, el carbón y el gas. La eliminación gradual…","RT @ONU_es: Para abordar la crisis climática, debemos lidiar con nuestra adicción al petróleo, el carbón y el gas. La eliminación gradual…","['rt', '@onu_es:', 'para', 'abordar', 'la', 'crisis', 'climática,', 'debemos', 'lidiar', 'con', 'nuestra', 'adicción', 'al', 'petróleo,', 'el', 'carbón', 'y', 'el', 'gas.', 'la', 'eliminación', 'gradual…']","rt @onu_es: para abordar la crisis climática, debemos lidiar con nuestra adicción al petróleo, el carbón y el gas. la eliminación gradual…","['rt', '@onu_es', 'para', 'abordar', 'la', 'crisis', 'climática', 'debemos', 'lidiar', 'con', 'nuestra', 'adicción', 'al', 'petróleo', 'el', 'carbón', 'y', 'el', 'gas', 'la', 'eliminación', 'gradual']",rt @onu_es para abordar la crisis climática debemos lidiar con nuestra adicción al petróleo el carbón y el gas la eliminación gradual,"['rt', 'onu_es', 'para', 'abordar', 'la', 'crisis', 'climática', 'debemos', 'lidiar', 'con', 'nuestra', 'adicción', 'al', 'petróleo', 'el', 'carbón', 'y', 'el', 'gas', 'la', 'eliminación', 'gradual']",[],['crisis'],['crisis'],1,0,1,-1
21,21,2022-09-09T23:54:09.000Z,en,101835305,RT @ICRicardoLara: Thank you to the powerful advocates who are leading the effort in CA and globally to close the protection gap &amp; help tho…,1568387311968329729,"['@icricardolara:', 'thank', 'powerful', 'advocates', 'leading', 'effort', 'globally', 'close', 'protection', 'gap', 'help', 'tho…']",RT @ICRicardoLara: Thank you to the powerful advocates who are leading the effort in CA and globally to close the protection gap &amp; help tho…,RT @ICRicardoLara: Thank you to the powerful advocates who are leading the effort in CA and globally to close the protection gap &amp; help tho…,"['rt', '@icricardolara:', 'thank', 'powerful', 'advocates', 'leading', 'effort', 'globally', 'close', 'protection', 'gap', 'help', 'tho…']",rt @icricardolara: thank powerful advocates leading effort globally close protection gap help tho…,"['rt', '@icricardolara', 'thank', 'powerful', 'advocate', 'lead', 'effort', 'globally', 'close', 'protection', 'gap', 'help', 'tho']",rt @icricardolara thank powerful advocate lead effort globally close protection gap help tho,"['rt', 'icricardolara', 'thank', 'powerful', 'advocate', 'lead', 'effort', 'globally', 'close', 'protection', 'gap', 'help', 'tho']","['powerful', 'thank', 'lead', 'advocate', 'protection']",[],"['powerful', 'thank', 'lead', 'advocate', 'protection']",5,1,0,1
22,22,2022-09-09T23:54:00.000Z,en,101835305,RT @ICRicardoLara: Thank you @CAgovernor for signing #AB2238 and joint authors @AsmLuzRivas @AsmEGarciaAD56 @AsmGarcia for your leadership…,1568387275477897217,"['@icricardolara:', 'thank', '@cagovernor', 'signing', '#ab2238', 'joint', 'authors', '@asmluzrivas', '@asmegarciaad56', '@asmgarcia', 'leadership…']",RT @ICRicardoLara: Thank you @CAgovernor for signing #AB2238 and joint authors @AsmLuzRivas @AsmEGarciaAD56 @AsmGarcia for your leadership…,RT @ICRicardoLara: Thank you @CAgovernor for signing #AB2238 and joint authors @AsmLuzRivas @AsmEGarciaAD56 @AsmGarcia for your leadership…,"['rt', '@icricardolara:', 'thank', '@cagovernor', 'signing', '#ab2238', 'joint', 'authors', '@asmluzrivas', '@asmegarciaad56', '@asmgarcia', 'leadership…']",rt @icricardolara: thank @cagovernor signing #ab2238 joint authors @asmluzrivas @asmegarciaad56 @asmgarcia leadership…,"['rt', '@icricardolara', 'thank', '@cagovernor', 'sign', 'ab2238', 'joint', 'author', '@asmluzrivas', '@asmegarciaad56', '@asmgarcia', 'leadership']",rt @icricardolara thank @cagovernor sign ab2238 joint author @asmluzrivas @asmegarciaad56 @asmgarcia leadership,"['rt', 'icricardolara', 'thank', 'cagovernor', 'sign', 'ab2238', 'joint', 'author', 'asmluzrivas', 'asmegarciaad56', 'asmgarcia', 'leadership']",['thank'],[],['thank'],1,1,0,1
23,23,2022-09-09T23:53:17.000Z,en,1092242415790899200,"@MarshaBlackburn You're confused, Marsha. Californians pulled together and avoided most - not all - of the rolling blackouts caused by the #ClimateChange fueled record #Heatwave. You're thinking of TEXAS, where the TX @GOP does nothing to prevent multi-day, fatal outages.",1568387096095916038,"['@marshablackburn', ""you're"", 'confused,', 'marsha.', 'californians', 'pulled', 'avoided', 'rolling', 'blackouts', 'caused', '#climatechange', 'fueled', 'record', '#heatwave.', ""you're"", 'thinking', 'texas,', 'tx', '@gop', 'prevent', 'multi-day,', 'fatal', 'outages.']","@MarshaBlackburn You're confused, Marsha. Californians pulled together and avoided most - not all - of the rolling blackouts caused by the #ClimateChange fueled record #Heatwave. You're thinking of TEXAS, where the TX @GOP does nothing to prevent multi-day, fatal outages.","@MarshaBlackburn You're confused, Marsha. Californians pulled together and avoided most - not all - of the rolling blackouts caused by the #ClimateChange fueled record #Heatwave. You're thinking of TEXAS, where the TX @GOP does nothing to prevent multi-day, fatal outages.","['@marshablackburn', ""you're"", 'confused,', 'marsha.', 'californians', 'pulled', 'avoided', 'rolling', 'blackouts', 'caused', '#climatechange', 'fueled', 'record', '#heatwave.', ""you're"", 'thinking', 'texas,', 'tx', '@gop', 'prevent', 'multi-day,', 'fatal', 'outages.']","@marshablackburn you're confused, marsha. californians pulled avoided rolling blackouts caused #climatechange fueled record #heatwave. you're thinking texas, tx @gop prevent multi-day, fatal outages.","['@marshablackburn', 'confused', 'marsha', 'californian', 'pull', 'avoid', 'rolling', 'blackout', 'cause', 'climatechange', 'fuel', 'record', 'heatwave', 'think', 'texas', 'tx', '@gop', 'prevent', 'multi', 'day', 'fatal', 'outage']",@marshablackburn confused marsha californian pull avoid rolling blackout cause climatechange fuel record heatwave think texas tx @gop prevent multi day fatal outage,"['marshablackburn', 'confused', 'marsha', 'californian', 'pull', 'avoid', 'rolling', 'blackout', 'cause', 'climatechange', 'fuel', 'record', 'heatwave', 'think', 'texas', 'tx', 'gop', 'prevent', 'multi', 'day', 'fatal', 'outage']",[],"['fatal', 'confused']","['fatal', 'confused']",2,0,1,-1
24,24,2022-09-09T23:53:12.000Z,en,4937061,"RT @NickKristof: We just lost power here at @KristofFarms here in rural Oregon, apparently because @portlandgeneral shut off electrical lin…",1568387075308941322,"['@nickkristof:', 'lost', 'power', '@kristoffarms', 'rural', 'oregon,', 'apparently', '@portlandgeneral', 'shut', 'electrical', 'lin…']","RT @NickKristof: We just lost power here at @KristofFarms here in rural Oregon, apparently because @portlandgeneral shut off electrical lin…","RT @NickKristof: We just lost power here at @KristofFarms here in rural Oregon, apparently because @portlandgeneral shut off electrical lin…","['rt', '@nickkristof:', 'lost', 'power', '@kristoffarms', 'rural', 'oregon,', 'apparently', '@portlandgeneral', 'shut', 'electrical', 'lin…']","rt @nickkristof: lost power @kristoffarms rural oregon, apparently @portlandgeneral shut electrical lin…","['rt', '@nickkristof', 'lose', 'power', '@kristoffarm', 'rural', 'oregon', 'apparently', '@portlandgeneral', 'shut', 'electrical', 'lin']",rt @nickkristof lose power @kristoffarm rural oregon apparently @portlandgeneral shut electrical lin,"['rt', 'nickkristof', 'lose', 'power', 'kristoffarm', 'rural', 'oregon', 'apparently', 'portlandgeneral', 'shut', 'electrical', 'lin']",[],['lose'],['lose'],1,0,1,-1
25,25,2022-09-09T23:53:09.000Z,en,526125131,RT @anncherie49: #Fauziah just referred to #ClimateChange as “fashionable”. Irresponsible journalism on #ABC @abcnews @BreakfastNews,1568387062604394497,"['@anncherie49:', '#fauziah', 'referred', '#climatechange', '“fashionable”.', 'irresponsible', 'journalism', '#abc', '@abcnews', '@breakfastnews']",RT @anncherie49: #Fauziah just referred to #ClimateChange as “fashionable”. Irresponsible journalism on #ABC @abcnews @BreakfastNews,RT @anncherie49: #Fauziah just referred to #ClimateChange as “fashionable”. Irresponsible journalism on #ABC @abcnews @BreakfastNews,"['rt', '@anncherie49:', '#fauziah', 'referred', '#climatechange', '“fashionable”.', 'irresponsible', 'journalism', '#abc', '@abcnews', '@breakfastnews']",rt @anncherie49: #fauziah referred #climatechange “fashionable”. irresponsible journalism #abc @abcnews @breakfastnews,"['rt', '@anncherie49', 'fauziah', 'refer', 'climatechange', 'fashionable', 'irresponsible', 'journalism', 'abc', '@abcnews', '@breakfastnew']",rt @anncherie49 fauziah refer climatechange fashionable irresponsible journalism abc @abcnews @breakfastnew,"['rt', 'anncherie49', 'fauziah', 'refer', 'climatechange', 'fashionable', 'irresponsible', 'journalism', 'abc', 'abcnews', 'breakfastnew']",['fashionable'],['irresponsible'],"['fashionable', 'irresponsible']",2,1,1,0
27,27,2022-09-09T23:52:53.000Z,en,22380418,"RT @NatashaHallDC: ""As hotter, more-crowded cities become the future of a warming world, a lack of preparedness will only exacerbate the di…",1568386993100410883,"['@natashahalldc:', '""as', 'hotter,', 'more-crowded', 'cities', 'future', 'warming', 'world,', 'lack', 'preparedness', 'exacerbate', 'di…']","RT @NatashaHallDC: ""As hotter, more-crowded cities become the future of a warming world, a lack of preparedness will only exacerbate the di…","RT @NatashaHallDC: ""As hotter, more-crowded cities become the future of a warming world, a lack of preparedness will only exacerbate the di…","['rt', '@natashahalldc:', '""as', 'hotter,', 'more-crowded', 'cities', 'future', 'warming', 'world,', 'lack', 'preparedness', 'exacerbate', 'di…']","rt @natashahalldc: ""as hotter, more-crowded cities future warming world, lack preparedness exacerbate di…","['rt', '@natashahalldc', 'hotter', 'crowd', 'city', 'future', 'warm', 'world', 'lack', 'preparedness', 'exacerbate', 'di']",rt @natashahalldc hotter crowd city future warm world lack preparedness exacerbate di,"['rt', 'natashahalldc', 'hotter', 'crowd', 'city', 'future', 'warm', 'world', 'lack', 'preparedness', 'exacerbate', 'di']",['warm'],"['lack', 'exacerbate']","['warm', 'lack', 'exacerbate']",3,1,1,0
28,28,2022-09-09T23:52:33.000Z,en,30703145,RT @PCarterClimate: ATMOSPHERIC CO2 50% HIGHER &amp; INCREASING FAST NOW HIGHEST IN 4 MILLION YEARS (NOAA) CERTAIN SUICIDE SCENARIO Atmospheri…,1568386910829125633,"['@pcarterclimate:', 'atmospheric', 'co2', '50%', 'higher', 'increasing', 'fast', 'highest', '4', 'million', 'years', '(noaa)', 'certain', 'suicide', 'scenario', 'atmospheri…']",RT @PCarterClimate: ATMOSPHERIC CO2 50% HIGHER &amp; INCREASING FAST NOW HIGHEST IN 4 MILLION YEARS (NOAA) CERTAIN SUICIDE SCENARIO Atmospheri…,RT @PCarterClimate: ATMOSPHERIC CO2 50% HIGHER &amp; INCREASING FAST NOW HIGHEST IN 4 MILLION YEARS (NOAA) CERTAIN SUICIDE SCENARIO Atmospheri…,"['rt', '@pcarterclimate:', 'atmospheric', 'co2', '50%', 'higher', 'increasing', 'fast', 'highest', '4', 'million', 'years', '(noaa)', 'certain', 'suicide', 'scenario', 'atmospheri…']",rt @pcarterclimate: atmospheric co2 50% higher increasing fast highest 4 million years (noaa) certain suicide scenario atmospheri…,"['rt', '@pcarterclimate', 'atmospheric', 'co2', '50', 'high', 'increase', 'fast', 'high', '4', 'million', 'year', 'noaa', 'certain', 'suicide', 'scenario', 'atmospheri']",rt @pcarterclimate atmospheric co2 50 high increase fast high 4 million year noaa certain suicide scenario atmospheri,"['rt', 'pcarterclimate', 'atmospheric', 'co2', '50', 'high', 'increase', 'fast', 'high', '4', 'million', 'year', 'noaa', 'certain', 'suicide', 'scenario', 'atmospheri']",['fast'],['suicide'],"['fast', 'suicide']",2,1,1,0
31,31,2022-09-09T23:51:38.000Z,en,524939820,"RT @NickKristof: We just lost power here at @KristofFarms here in rural Oregon, apparently because @portlandgeneral shut off electrical lin…",1568386681564450817,"['@nickkristof:', 'lost', 'power', '@kristoffarms', 'rural', 'oregon,', 'apparently', '@portlandgeneral', 'shut', 'electrical', 'lin…']","RT @NickKristof: We just lost power here at @KristofFarms here in rural Oregon, apparently because @portlandgeneral shut off electrical lin…","RT @NickKristof: We just lost power here at @KristofFarms here in rural Oregon, apparently because @portlandgeneral shut off electrical lin…","['rt', '@nickkristof:', 'lost', 'power', '@kristoffarms', 'rural', 'oregon,', 'apparently', '@portlandgeneral', 'shut', 'electrical', 'lin…']","rt @nickkristof: lost power @kristoffarms rural oregon, apparently @portlandgeneral shut electrical lin…","['rt', '@nickkristof', 'lose', 'power', '@kristoffarm', 'rural', 'oregon', 'apparently', '@portlandgeneral', 'shut', 'electrical', 'lin']",rt @nickkristof lose power @kristoffarm rural oregon apparently @portlandgeneral shut electrical lin,"['rt', 'nickkristof', 'lose', 'power', 'kristoffarm', 'rural', 'oregon', 'apparently', 'portlandgeneral', 'shut', 'electrical', 'lin']",[],['lose'],['lose'],1,0,1,-1
33,33,2022-09-09T23:51:04.000Z,en,1091713788066304001,RT @PCarterClimate: ATMOSPHERIC CO2 50% HIGHER &amp; INCREASING FAST NOW HIGHEST IN 4 MILLION YEARS (NOAA) CERTAIN SUICIDE SCENARIO Atmospheri…,1568386536634462208,"['@pcarterclimate:', 'atmospheric', 'co2', '50%', 'higher', 'increasing', 'fast', 'highest', '4', 'million', 'years', '(noaa)', 'certain', 'suicide', 'scenario', 'atmospheri…']",RT @PCarterClimate: ATMOSPHERIC CO2 50% HIGHER &amp; INCREASING FAST NOW HIGHEST IN 4 MILLION YEARS (NOAA) CERTAIN SUICIDE SCENARIO Atmospheri…,RT @PCarterClimate: ATMOSPHERIC CO2 50% HIGHER &amp; INCREASING FAST NOW HIGHEST IN 4 MILLION YEARS (NOAA) CERTAIN SUICIDE SCENARIO Atmospheri…,"['rt', '@pcarterclimate:', 'atmospheric', 'co2', '50%', 'higher', 'increasing', 'fast', 'highest', '4', 'million', 'years', '(noaa)', 'certain', 'suicide', 'scenario', 'atmospheri…']",rt @pcarterclimate: atmospheric co2 50% higher increasing fast highest 4 million years (noaa) certain suicide scenario atmospheri…,"['rt', '@pcarterclimate', 'atmospheric', 'co2', '50', 'high', 'increase', 'fast', 'high', '4', 'million', 'year', 'noaa', 'certain', 'suicide', 'scenario', 'atmospheri']",rt @pcarterclimate atmospheric co2 50 high increase fast high 4 million year noaa certain suicide scenario atmospheri,"['rt', 'pcarterclimate', 'atmospheric', 'co2', '50', 'high', 'increase', 'fast', 'high', '4', 'million', 'year', 'noaa', 'certain', 'suicide', 'scenario', 'atmospheri']",['fast'],['suicide'],"['fast', 'suicide']",2,1,1,0
36,36,2022-09-09T23:50:39.000Z,en,1339821457,Energy Crisis Will Be Short-Lived &amp; Reap #climatechange #environment #sustainability #nature #globalwarming #savetheplanet #climate #climatecrisis #ecofriendly #climateaction #zerowaste #sustainable #earth #gogreen #climatechangeisreal ,1568386431038406657,"['energy', 'crisis', 'short-lived', 'reap', '#climatechange', '#environment', '#sustainability', '#nature', '#globalwarming', '#savetheplanet', '#climate', '#climatecrisis', '#ecofriendly', '#climateaction', '#zerowaste', '#sustainable', '#earth', '#gogreen', '#climatechangeisreal']",Energy Crisis Will Be Short-Lived &amp; Reap #climatechange #environment #sustainability #nature #globalwarming #savetheplanet #climate #climatecrisis #ecofriendly #climateaction #zerowaste #sustainable #earth #gogreen #climatechangeisreal,Energy Crisis Will Be Short-Lived &amp; Reap #climatechange #environment #sustainability #nature #globalwarming #savetheplanet #climate #climatecrisis #ecofriendly #climateaction #zerowaste #sustainable #earth #gogreen #climatechangeisreal,"['energy', 'crisis', 'short-lived', 'reap', '#climatechange', '#environment', '#sustainability', '#nature', '#globalwarming', '#savetheplanet', '#climate', '#climatecrisis', '#ecofriendly', '#climateaction', '#zerowaste', '#sustainable', '#earth', '#gogreen', '#climatechangeisreal']",energy crisis short-lived reap #climatechange #environment #sustainability #nature #globalwarming #savetheplanet #climate #climatecrisis #ecofriendly #climateaction #zerowaste #sustainable #earth #gogreen #climatechangeisreal,"['energy', 'crisis', 'short', 'live', 'reap', 'climatechange', 'environment', 'sustainability', 'nature', 'globalwarme', 'savetheplanet', 'climate', 'climatecrisis', 'ecofriendly', 'climateaction', 'zerowaste', 'sustainable', 'earth', 'gogreen', 'climatechangeisreal']",energy crisis short live reap climatechange environment sustainability nature globalwarme savetheplanet climate climatecrisis ecofriendly climateaction zerowaste sustainable earth gogreen climatechangeisreal,"['energy', 'crisis', 'short', 'live', 'reap', 'climatechange', 'environment', 'sustainability', 'nature', 'globalwarme', 'savetheplanet', 'climate', 'climatecrisis', 'ecofriendly', 'climateaction', 'zerowaste', 'sustainable', 'earth', 'gogreen', 'climatechangeisreal']","['sustainability', 'sustainable']",['crisis'],"['sustainability', 'sustainable', 'crisis']",3,1,1,0
37,37,2022-09-09T23:50:16.000Z,en,997850973266587648,RT @MaryJoe38642126: .@BLMNational continues to #roundup #wildhorses using #overpopulation &amp; #drought as #excuses. TRUTH: #Cattle are #over…,1568386335693762561,"['@maryjoe38642126:', '.@blmnational', 'continues', '#roundup', '#wildhorses', '#overpopulation', '#drought', '#excuses.', 'truth:', '#cattle', '#over…']",RT @MaryJoe38642126: .@BLMNational continues to #roundup #wildhorses using #overpopulation &amp; #drought as #excuses. TRUTH: #Cattle are #over…,RT @MaryJoe38642126: .@BLMNational continues to #roundup #wildhorses using #overpopulation &amp; #drought as #excuses. TRUTH: #Cattle are #over…,"['rt', '@maryjoe38642126:', '.@blmnational', 'continues', '#roundup', '#wildhorses', '#overpopulation', '#drought', '#excuses.', 'truth:', '#cattle', '#over…']",rt @maryjoe38642126: .@blmnational continues #roundup #wildhorses #overpopulation #drought #excuses. truth: #cattle #over…,"['rt', '@maryjoe38642126', '.@blmnational', 'continue', 'roundup', 'wildhorse', 'overpopulation', 'drought', 'excuse', 'truth', 'cattle']",rt @maryjoe38642126 .@blmnational continue roundup wildhorse overpopulation drought excuse truth cattle,"['rt', 'maryjoe38642126', '.blmnational', 'continue', 'roundup', 'wildhorse', 'overpopulation', 'drought', 'excuse', 'truth', 'cattle']",[],"['drought', 'excuse']","['drought', 'excuse']",2,0,1,-1
38,38,2022-09-09T23:49:42.000Z,en,1564634114313097218,RT @JBCOOKS: PORTRAITS OF CHANGE is an important video series featuring small-scale fishers and #bluefoods workers on the front lines of #c…,1568386192693170176,"['@jbcooks:', 'portraits', 'change', 'important', 'video', 'series', 'featuring', 'small-scale', 'fishers', '#bluefoods', 'workers', 'lines', '#c…']",RT @JBCOOKS: PORTRAITS OF CHANGE is an important video series featuring small-scale fishers and #bluefoods workers on the front lines of #c…,RT @JBCOOKS: PORTRAITS OF CHANGE is an important video series featuring small-scale fishers and #bluefoods workers on the front lines of #c…,"['rt', '@jbcooks:', 'portraits', 'important', 'video', 'series', 'featuring', 'small-scale', 'fishers', '#bluefoods', 'workers', 'lines', '#c…']",rt @jbcooks: portraits important video series featuring small-scale fishers #bluefoods workers lines #c…,"['rt', '@jbcooks', 'portrait', 'important', 'video', 'series', 'feature', 'small', 'scale', 'fisher', 'bluefood', 'worker', 'line', 'c']",rt @jbcooks portrait important video series feature small scale fisher bluefood worker line c,"['rt', 'jbcooks', 'portrait', 'important', 'video', 'series', 'feature', 'small', 'scale', 'fisher', 'bluefood', 'worker', 'line', 'c']",['important'],[],['important'],1,1,0,1
39,39,2022-09-09T23:49:36.000Z,en,1132791264242307073,RT @anncherie49: #Fauziah just referred to #ClimateChange as “fashionable”. Irresponsible journalism on #ABC @abcnews @BreakfastNews,1568386167426646016,"['@anncherie49:', '#fauziah', 'referred', '#climatechange', '“fashionable”.', 'irresponsible', 'journalism', '#abc', '@abcnews', '@breakfastnews']",RT @anncherie49: #Fauziah just referred to #ClimateChange as “fashionable”. Irresponsible journalism on #ABC @abcnews @BreakfastNews,RT @anncherie49: #Fauziah just referred to #ClimateChange as “fashionable”. Irresponsible journalism on #ABC @abcnews @BreakfastNews,"['rt', '@anncherie49:', '#fauziah', 'referred', '#climatechange', '“fashionable”.', 'irresponsible', 'journalism', '#abc', '@abcnews', '@breakfastnews']",rt @anncherie49: #fauziah referred #climatechange “fashionable”. irresponsible journalism #abc @abcnews @breakfastnews,"['rt', '@anncherie49', 'fauziah', 'refer', 'climatechange', 'fashionable', 'irresponsible', 'journalism', 'abc', '@abcnews', '@breakfastnew']",rt @anncherie49 fauziah refer climatechange fashionable irresponsible journalism abc @abcnews @breakfastnew,"['rt', 'anncherie49', 'fauziah', 'refer', 'climatechange', 'fashionable', 'irresponsible', 'journalism', 'abc', 'abcnews', 'breakfastnew']",['fashionable'],['irresponsible'],"['fashionable', 'irresponsible']",2,1,1,0
40,40,2022-09-09T23:49:35.000Z,en,873549948733845506,RT @LEAD_Coalition: Cleaner air may reduce #Alzheimers risk  #dementia #environment #ClimateChange ,1568386164901695488,"['@lead_coalition:', 'cleaner', 'air', 'reduce', '#alzheimers', 'risk', '#dementia', '#environment', '#climatechange']",RT @LEAD_Coalition: Cleaner air may reduce #Alzheimers risk #dementia #environment #ClimateChange,RT @LEAD_Coalition: Cleaner air may reduce #Alzheimers risk #dementia #environment #ClimateChange,"['rt', '@lead_coalition:', 'cleaner', 'air', 'reduce', '#alzheimers', 'risk', '#dementia', '#environment', '#climatechange']",rt @lead_coalition: cleaner air reduce #alzheimers risk #dementia #environment #climatechange,"['rt', '@lead_coalition', 'clean', 'air', 'reduce', 'alzheimer', 'risk', 'dementia', 'environment', 'climatechange']",rt @lead_coalition clean air reduce alzheimer risk dementia environment climatechange,"['rt', 'lead_coalition', 'clean', 'air', 'reduce', 'alzheimer', 'risk', 'dementia', 'environment', 'climatechange']",['clean'],['risk'],"['clean', 'risk']",2,1,1,0
